ean,descricao_normalizada,PROD,PROD_X,TIPO,MARCA,MARCA_X,EMBAL,PESO
8005333103017,ARROZ ARBORIO ANA LUISA CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,ANA LUISA,,CAIXA,1KG
7898958074753,ARROZ ARBORIO BARY CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,BARY,,CAIXA,1KG
7896011945064,ARROZ ARBORIO BLUE VILLE CULINARIA ITALIANA PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,BLUE VILLE,CULINARIA ITALIANA,PACOTE,1KG
7896901200877,ARROZ ARBORIO BROTO LEGAL PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,BROTO LEGAL,,PACOTE,1KG
7896273903277,ARROZ ARBORIO CALDO BOM PACOTE 500 GRAMAS,ARROZ,ARBORIO,,CALDO BOM,,PACOTE,500G
47896006798796,ARROZ ARBORIO CAMIL CULINARIA ITALIANA FARDO 10 X 1000 GRAMAS,ARROZ,ARBORIO,,CAMIL,CULINARIA ITALIANA,FARDO,1KG
7896006798781,ARROZ ARBORIO CAMIL CULINARIA ITALIANA PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,CAMIL,CULINARIA ITALIANA,PACOTE,1KG
8003055000010,ARROZ ARBORIO COLAVITA CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,COLAVITA,,CAIXA,1KG
8001876002114,ARROZ ARBORIO COLAVITA SUPER FINO CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,COLAVITA,SUPER FINO,CAIXA,1KG
7898927981204,ARROZ ARBORIO COSTAZZURRA CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,COSTAZZURRA,,CAIXA,1KG
7898246071228,ARROZ ARBORIO CRISTA CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,CRISTA,,CAIXA,1KG
8017759011104,ARROZ ARBORIO CURTIRISO CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,CURTIRISO,,CAIXA,1KG
8017759646429,ARROZ ARBORIO CURTIRISO CLASSICO CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,CURTIRISO,CLASSICO,CAIXA,1KG
8001250008503,ARROZ ARBORIO DE CECCO CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,DE CECCO,,CAIXA,1KG
7898994350019,ARROZ ARBORIO DI BIANCO PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,DI BIANCO,,PACOTE,1KG
7897118402511,ARROZ ARBORIO DI SALERNO CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,DI SALERNO,,CAIXA,1KG
8005121218107,ARROZ ARBORIO DIVELLA CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,DIVELLA,,CAIXA,1KG
8008105710017,ARROZ ARBORIO ELLEBI CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,ELLEBI,,CAIXA,1KG
